Name,Year T-3,Year T-2,Year T-1,Year T,Year T+1,Year T+2,Year T+3
GFC (Year T=2009),3.029525412,3.630567164,2.906576275,-1.368034235,4.54672624,3.330761279,2.775715888
Covid (Year T=2020),3.3341051,3.245402895,2.560343233,-3.367816375,5.839962278,2.568439495,2.215212009
