Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Developed economies,62.54998,62.25925,62.10102463,61.39745,60.91752,60.79532623,61.07198,61.19385529,60.8792,60.33963394,60.66709,60.58412,60.01456451,59.46621,58.91126633,58.87925,58.62902451,57.98469,58.06455,58.07764,58.13542,58.24858,57.96245,57.84618,57.51728,56.82907,56.56755,56.88602,57.33072,57.1017,56.25348,56.13423,55.99477386,55.76225662,55.75349,55.59552383,55.57875,55.37507,55.28999,55.35913467,56.81878,56.65972,56.5490036
Devoloping economies,54.72223,54.76102,54.35013,53.82799,53.86684,53.85707474,53.63845,53.84939575,54.09179,54.27555466,54.39695358,54.26238,54.51096344,54.38294,54.43893433,54.58664,54.51892,54.33142471,54.46802,54.20811,54.19718552,54.10901,53.41674423,53.09566,52.44221497,51.97704,51.55219,51.39705,51.93371,52.31209,51.6656456,51.8319931,51.92566681,51.92632675,52.01879,52.29660416,52.30656,52.23220444,52.01312,51.79192352,52.27908325,51.96583557,51.71914
