Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Developed Economies,21.9220679,22.10854416,21.90544132,22.64718782,22.16343287,20.97193854,20.91832197,21.24629602,21.58140768,21.73314603,21.59850565,21.09434347,20.65064544,20.40159049,20.51964359,20.5840367,20.54024506,20.68887918,21.13401737,20.69289941,21.15500757,19.93522275,19.42599047,18.33790531,18.51483981,18.60087205,18.88627622,18.97022431,19.01342298,19.14460173,19.5301772,19.16129786,18.40387922,18.45580793,18.75293853,19.30431333,19.74398485,19.90338403,19.41945941,17.28962306,16.94650625,17.35273319,17.71026027,17.75471624,18.03406352,18.14916652,18.29524593,18.61864269,18.60998787,18.90365216,19.00559139,18.93313102,19.31620021
Developing Economies excl. China,17.31883235,17.68067583,17.63006535,17.59964387,17.19771833,18.35896874,18.60770781,18.75720649,19.0944741,19.26863219,19.20471343,19.38685644,18.79338474,18.0420002,17.18743072,16.3928806,16.36245096,16.88888287,16.96825235,16.7181213,17.54993285,16.68486449,17.01458062,17.44840078,17.58779706,17.77661394,18.23030031,18.53064579,17.90454937,16.57479346,16.6197142,16.85046639,16.4477689,16.63402646,17.87779202,18.4001126,18.88013922,19.30873868,19.19489347,19.03252296,19.08260132,19.42145972,19.37218247,19.16146089,19.4085596,19.67483687,19.09916576,18.81413314,19.07096604,18.98352527,18.40244093,18.19509589,18.0330058
