Name,2016,2017,2018,2019,2020,2021,2022,2023
GDP,100,103.3341051,106.6877131,109.4192848,105.7342442,111.9090842,114.7834013,117.326097
Pre-Covid trend,100,103.0460362,106.1848557,109.4192848,112.7522358,116.1867096,119.7257988,123.3726899
